,entity_idx,question_idx,question,choices,gold_answer,gold_entity,model_answer,model_response_all,model_reasoning
21,7,0,What's the inaccurate option about the airport Dublin?,"['Option 1: ICAO Shortcode of the airport is HL59.', 'Option 2: Latitude of the airport is 53.4213.', 'Option 3: Longitude of the airport is -6.2701.', 'Option 4: Country code of the airport is IE.']",1,EIDW,1,"Option 1: ICAO Shortcode of the airport is HL59. Explanation: The ICAO code for Dublin Airport is EIDW, not HL59. ICAO codes are four-letter alphanumeric code designators for airports and cities around the world, defined by the International Civil Aviation Organization. The first and second letters represent the country, the third and fourth are for the specific airport. HL59 does not correspond to Dublin Airport.",True
22,7,1,What is the false option about the airport Dublin?,"['Option 1: The abbreviated form (ICAO) for the airport is HL59.', 'Option 2: The latitude of the airport is 53.4213.', 'Option 3: The longitude of the airport is -6.2701.', 'Option 4: The country code of the airport is IE.']",1,EIDW,1,Option 1: The abbreviated form (ICAO) for the airport is HL59. Explanation: The correct ICAO code for Dublin Airport is EIDW. HL59 is not the correct abbreviation for Dublin Airport. ICAO codes are four-letter airport codes issued by the International Civil Aviation Organization (ICAO) to identify aerodromes around the world.,True
23,7,2,What is the wrong option regarding the airport Dublin?,"['Option 1: The ICAO shortcode for the airport is the same with HL59.', 'Option 2: The airport is located at 53.4213 latitude.', 'Option 3: The airport is located at -6.2701 longitude.', 'Option 4: The airport has a country code of IE.']",1,EIDW,1,"Option 1: The ICAO shortcode for the airport is the same with HL59. Explanation: The ICAO code for Dublin Airport is EIDW, not HL59. HL59 is not a valid ICAO code for any airport. ICAO codes are four-letter alphanumeric code designators for airports around the world based on the geographical location. The first and/or second letter(s) represent the country, the rest are for the specific airport.",True
24,8,0,What's the inaccurate option about the airport Chu Lai International?,"['Option 1: ICAO Shortcode of the airport is VVCA.', 'Option 2: Latitude of the airport is 15.4033.', 'Option 3: Longitude of the airport is 122.932.', 'Option 4: Country code of the airport is VN.']",3,108.706,3,"Option 3: Longitude of the airport is 122.932. Explanation: The longitude of Chu Lai International Airport is approximately 108.703, not 122.932. This makes option 3 inaccurate.",True
25,8,1,What is the false option about the airport Chu Lai International?,"['Option 1: The abbreviated form (ICAO) for the airport is VVCA.', 'Option 2: The latitude of the airport is 15.4033.', 'Option 3: The longitude of the airport is 122.932.', 'Option 4: The country code of the airport is VN.']",3,108.706,3,"Option 3: The longitude of the airport is 122.932. Explanation: The longitude of Chu Lai International Airport is approximately 108.703, not 122.932. Therefore, this statement is false.",True
26,8,2,What is the wrong option regarding the airport Chu Lai International?,"['Option 1: The ICAO shortcode for the airport is the same with VVCA.', 'Option 2: The airport is located at 15.4033 latitude.', 'Option 3: The airport is located at 122.932 longitude.', 'Option 4: The airport has a country code of VN.']",3,108.706,3,"Option 3: The airport is located at 122.932 longitude. Explanation: The correct longitude of Chu Lai International Airport is approximately 108.703, not 122.932. Therefore, option 3 is incorrect.",True
51,17,0,What's the inaccurate option about the airport Lovell Field?,"['Option 1: ICAO Shortcode of the airport is KCHA.', 'Option 2: Latitude of the airport is -7.0606.', 'Option 3: Longitude of the airport is -85.2036.', 'Option 4: Country code of the airport is US.']",2,35.0352,2,"Option 2: Latitude of the airport is -7.0606. Explanation: The latitude of Lovell Field, also known as Chattanooga Metropolitan Airport, is not -7.0606. The actual latitude is approximately 35.0353. Negative latitude values are in the southern hemisphere, while Lovell Field is located in the United States, which is in the northern hemisphere.",True
52,17,1,What is the false option about the airport Lovell Field?,"['Option 1: The abbreviated form (ICAO) for the airport is KCHA.', 'Option 2: The latitude of the airport is -7.0606.', 'Option 3: The longitude of the airport is -85.2036.', 'Option 4: The country code of the airport is US.']",2,35.0352,2,"Option 2: The latitude of the airport is -7.0606. Explanation: Lovell Field, also known as Chattanooga Metropolitan Airport, is located in Chattanooga, Tennessee, United States. The latitude of Chattanooga, Tennessee is approximately 35.0456° N, not -7.0606. Negative latitude values are in the southern hemisphere, while Chattanooga is in the northern hemisphere.",True
53,17,2,What is the wrong option regarding the airport Lovell Field?,"['Option 1: The ICAO shortcode for the airport is the same with KCHA.', 'Option 2: The airport is located at -7.0606 latitude.', 'Option 3: The airport is located at -85.2036 longitude.', 'Option 4: The airport has a country code of US.']",2,35.0352,2,"Option 2: The airport is located at -7.0606 latitude. Explanation: Lovell Field, also known as Chattanooga Metropolitan Airport, is located in Chattanooga, Tennessee, United States. Its geographical coordinates are approximately 35.0353° N latitude and -85.2036° W longitude. Therefore, the statement that the airport is located at -7.0606 latitude is incorrect.",True
111,37,0,What's the inaccurate option about the airport Creech Afb?,"['Option 1: ICAO Shortcode of the airport is KINS.', 'Option 2: Latitude of the airport is 3.8555.', 'Option 3: Longitude of the airport is -115.6774.', 'Option 4: Country code of the airport is US.']",2,36.5863,2,"Option 2: Latitude of the airport is 3.8555. Explanation: The latitude of Creech Air Force Base is approximately 36.587, not 3.8555. Latitude is a geographical coordinate that specifies the north-south position of a point on the Earth's surface. The given latitude in option 2 is incorrect for the location of Creech Afb.",True
